State_Code,State,District,Confirmed,Active,Recovered,Deceased,"Sex ratio of the total population (females per 1,000 males)",Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2)14 (%),Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),Women who are overweight or obese (BMI ≥ 25.0 kg/m2)14 (%),Men who are overweight or obese (BMI ≥ 25.0 kg/m2) (%),All women age 15-49 years who are anaemic (%),Men age 15-49 years who are anaemic (<13.0 g/dl) (%),Women Blood sugar level - high (>140 mg/dl) (%),Men Blood sugar level - high (>140 mg/dl) (%),Women Very high (Systolic ≥180 mm of Hg and/or Diastolic ≥110 mm of Hg) (%),Men Very high (Systolic ≥180 mm of Hg and/or Diastolic ≥110 mm of Hg) (%)
RJ,Rajasthan,Nagaur,2020,266,1715,39,1011,25.2,15,14.1,11.6,38.2,7.8,3,1.8,0.6,0
GJ,Gujarat,Gandhinagar,2011,251,1712,48,931,30.5,27.1,22.1,19.2,65.8,37.9,4.7,7.1,1.2,1.4
BR,Bihar,Khagaria,1996,353,1637,6,1043,31.1,21.9,10.7,13.3,59.8,29.6,3.2,4.4,0.4,0.7
RJ,Rajasthan,Barmer,1990,313,1660,17,980,26.1,29.8,11.7,15,42.7,19.4,3,3.7,0.7,0
PB,Punjab,Sahibzada Ajit Singh Nagar,1990,1027,925,38,864,13.6,18.7,39.4,39.1,59.6,20.7,5.4,11.7,0.5,1.6
RJ,Rajasthan,Udaipur,1988,375,1593,20,1043,37.7,38.7,10.4,12.7,69.7,29.1,2.3,6.8,0.4,0
UP,Uttar Pradesh,Basti,1968,923,1001,44,1086,24.6,29.3,15.5,8.5,55.7,24.1,12.5,10.5,0.6,0
AS,Assam,Darrang,1967,229,1730,8,977,27.3,25.8,9.6,5.6,45.1,33.8,5.5,9.1,1,1.4
BR,Bihar,Jehanabad,1942,668,1267,7,1103,30.6,27.2,10.9,11.4,56.7,23.9,5.1,5.9,0.4,0
TN,Tamil Nadu,Ariyalur,1941,642,1280,19,1048,16.9,15.9,21.4,28.9,56.8,22,8.1,14,0.3,0.9
BR,Bihar,Supaul,1928,478,1443,7,1123,38.6,28.8,5.6,9.6,68.1,45.9,4.2,5,0.5,0
RJ,Rajasthan,Dhaulpur,1923,487,1417,19,916,29.8,24.5,10.3,9.5,46.5,16.2,2.5,5.7,0.4,0
BR,Bihar,Nawada,1902,268,1622,12,1169,33.6,28.8,11,8.7,58.8,28.9,5,7.6,0.6,0
MP,Madhya Pradesh,Morena,1898,108,1779,11,895,27.5,30.4,14.1,10,56,28.8,2.4,5.1,0.3,0
UT,Uttarakhand,Nainital,1882,572,1278,31,1005,17.2,18.6,27.2,21.3,38.4,15.2,7.3,8.8,0.9,0
JK,Jammu and Kashmir,Anantnag,1857,358,1456,43,999,8.8,10.7,33.1,14.9,26.8,11.2,7.5,3.8,0.9,0.4
BR,Bihar,Darbhanga,1837,592,1232,13,1145,31.2,24.3,11.9,13.8,66.1,38.8,4.7,2.4,0.8,0.9
JK,Jammu and Kashmir,Badgam,1834,490,1300,44,989,10.9,9.7,31.4,15.3,53.6,11.8,6.8,3.1,0.6,0.7
WB,West Bengal,Uttar Dinajpur,1824,457,1352,15,1023,25.7,17.4,11.1,8,62.1,38,5.8,5.7,0.7,0.8
WB,West Bengal,Koch Bihar,1818,421,1396,1,1008,24.8,19.8,9.7,9.5,69.1,40.7,7.1,6.5,0.7,1.7
UP,Uttar Pradesh,Hardoi,1816,441,1356,19,945,30.6,33.2,12.2,4.1,33.8,18.5,4.3,6.9,0.3,0
UP,Uttar Pradesh,Bulandshahr,1814,324,1451,39,1002,21.6,24.9,19.3,13.7,56.2,28.3,3.7,4.4,0.5,1.6
JH,Jharkhand,Dhanbad,1810,630,1155,25,947,30.9,23.9,14.7,10.5,63.6,31.4,6.3,7.9,0.5,0
HR,Haryana,Karnal,1737,501,1218,18,881,12.9,6.4,26.3,27.5,67,14.6,4,8.5,0.2,0
OR,Odisha,Bhadrak,1733,788,935,10,1074,30.3,19.7,13.9,22.5,43.5,22,11.5,13.7,0.3,1
UP,Uttar Pradesh,Maharajganj,1729,537,1174,18,1093,28.5,24.2,14,8.9,48.1,28.6,9.8,13.8,0.9,0
JK,Jammu and Kashmir,Kulgam,1728,210,1487,31,982,7.9,8.3,31.4,15.5,42.3,11.1,5.7,6.3,1.5,1.1
AS,Assam,Dhubri,1723,507,1215,1,957,30.8,13.1,9.4,16.2,52.5,26.4,3.2,3.5,1.1,0
UP,Uttar Pradesh,Sultanpur,1702,666,1009,27,1078,30.4,24.9,14.3,12.6,57.2,25.2,3.6,8,0.3,0
NL,Nagaland,Dimapur,1694,1074,611,7,1032,13.4,16.6,22.6,13.7,25.2,12.5,6.6,9.3,2.1,1.5
UP,Uttar Pradesh,Siddharthnagar,1690,681,995,14,1117,27.7,41.5,13.2,10.1,56.6,44.3,9.4,15.7,1,0.9
TN,Tamil Nadu,Krishnagiri,1688,326,1336,26,1009,18.1,18.1,24.4,21,47.4,25.8,6.3,7,0.5,1.4
KA,Karnataka,Chamarajanagar,1666,390,1246,22,1068,26.1,18,17.3,18.8,44.5,23.1,5.3,10.1,1.9,1.1
OR,Odisha,Nayagarh,1651,732,908,11,1009,16.4,17.5,22.8,21.6,39.8,19.2,7.6,15.4,0.3,0
TN,Tamil Nadu,Nagapattinam,1650,692,940,18,1071,22.7,14.4,26.9,27,51.6,15.9,8.3,5.3,0.7,2.2
UP,Uttar Pradesh,Mathura,1649,598,1011,40,903,18.1,18.5,22.3,18.5,45.1,22.4,3.5,8.5,0.5,0.5
TN,Tamil Nadu,Tiruppur,1647,491,1108,48,986,11.9,9,28,26.3,58.6,24.4,4.2,8.2,0.3,1.6
TN,Tamil Nadu,Erode,1640,693,920,27,1001,10.7,13.6,27.4,24.1,47.6,16.7,5.1,13,0.1,2.7
JK,Jammu and Kashmir,Kupwara,1637,467,1134,36,972,15.9,19.4,20.5,15.5,59,14.3,5.2,6.3,0.9,0.3
CT,Chhattisgarh,Durg,1631,740,870,21,997,24.1,34.8,18.6,13.8,49.1,20,8.1,11.7,0.6,0.9
UP,Uttar Pradesh,Pilibhit,1623,554,1057,12,937,29.2,36.5,15.2,9.7,57.1,21.3,8.3,15.1,0.5,0
MH,Maharashtra,Parbhani,1618,993,572,53,1006,31.4,26.4,14,13.5,46.4,15.9,4.1,8.7,0.5,2.8
UP,Uttar Pradesh,Sant Kabir Nagar,1613,269,1328,16,1137,26.4,21.7,13.5,18,50.9,22.3,7.7,7.8,0.7,0
OR,Odisha,Mayurbhanj,1601,725,870,6,1032,31.6,16.4,8.6,16.4,42.4,23.4,7.9,9.6,1.1,0
OR,Odisha,Sambalpur,1600,582,1010,8,1027,28.1,21.4,16.8,15.5,73,45,6.9,9.1,0.6,0.8
PB,Punjab,Sangrur,1597,279,1258,60,893,14.8,9.2,30.3,28.3,47.1,15.9,4.7,6.4,1.1,1.1
OR,Odisha,Kandhamal,1590,572,1011,7,1070,28.1,23.8,8.2,7,52.7,27.9,3.5,6.6,0.5,0.7
UP,Uttar Pradesh,Gonda,1587,465,1100,22,1057,29,28.2,12.7,7.1,54.4,31.7,9,10,0.7,0.7
JK,Jammu and Kashmir,Shupiyan,1579,96,1458,25,975,9.3,9.1,31.3,15.3,38.8,10.2,7.5,4.2,0.9,0.9
KA,Karnataka,Chitradurga,1560,516,1030,14,946,22.7,17.6,13.1,20.2,43.7,24.5,5.1,7.2,0.5,0.6
BR,Bihar,Madhepura,1556,479,1072,5,1130,32.9,31.3,8.3,12,57.5,30.5,4.6,5.7,0.4,0
GJ,Gujarat,Jamnagar,1540,481,1035,24,952,19.5,12.8,29.4,21.1,63.8,23,6,5.8,0.3,0
JK,Jammu and Kashmir,Bandipore,1535,762,751,22,1050,9.6,7.6,34.1,18.3,43.3,14,5.2,5.2,1.1,0.3
RJ,Rajasthan,Bhilwara,1512,601,901,10,1000,24.3,23.1,14.1,10.2,56,24.3,3,6.7,0.4,0
UP,Uttar Pradesh,Chandauli,1510,390,1107,13,1005,27.4,17.5,14.1,10.7,63.9,37.9,3.8,7.7,0.5,0
BR,Bihar,Sheikhpura,1494,471,1020,3,1104,35.6,27,10.7,8.9,66.8,35.2,3.3,4.7,0.1,1.6
OR,Odisha,Malkangiri,1475,520,949,6,1027,45.9,26,6.2,6.7,71.3,47.2,4.9,8.5,0.4,2.4
MP,Madhya Pradesh,Ujjain,1464,201,1187,76,968,26.4,23.1,17.5,11.4,47.4,18.2,7.4,7.4,0.9,0.5
UP,Uttar Pradesh,Unnao,1464,424,1013,27,1011,26.5,33.1,13.2,5.3,36,21.2,2.9,4.9,0.2,0.7
BR,Bihar,Kishanganj,1463,396,1061,6,1086,34.5,16.9,6.1,7.4,67.6,42.6,4.7,13.7,0.7,2.6
UP,Uttar Pradesh,Bahraich,1449,532,898,19,988,35.1,30.2,10.5,12.9,52.7,29.9,7.8,14.2,1.2,0.9
BR,Bihar,Lakhisarai,1405,372,1029,4,1013,27.6,15.8,11.5,10.7,62.1,55,2.7,4.6,0.2,0
GJ,Gujarat,Junagadh,1398,287,1089,22,974,16.9,16.3,25.5,21.3,59.7,21.3,5.1,9.5,0.5,0.3
AS,Assam,Hailakandi,1387,267,1116,4,962,33.2,18.6,7.4,6.9,47.2,27.2,4.3,3.9,0.9,0.6
PB,Punjab,Bathinda,1380,630,734,16,914,12.3,8.9,23.8,26,45.8,21.8,4.6,5.4,0.6,0.8
BR,Bihar,Banka,1378,317,1057,4,1006,32,25.8,6.2,13.4,67,43.1,3.8,7.6,0.3,0.7
HR,Haryana,Hisar,1369,213,1145,11,883,14.9,9.9,17.8,20.7,59.5,30.2,3,5.4,0.2,0.8
UP,Uttar Pradesh,Kannauj,1344,241,1094,9,988,23.4,30.5,13.5,10.1,25.9,17.8,2.8,5.7,0.6,0
OR,Odisha,Kendujhar,1335,267,1061,7,1065,28.9,19.9,13.9,22.9,40.5,18.8,7.8,4.6,1.5,1.7
UP,Uttar Pradesh,Muzaffarnagar,1331,363,944,24,983,21.2,26.4,21.7,11,64.6,23.3,6.5,9.2,0.3,0
TN,Tamil Nadu,Namakkal,1326,331,970,25,1008,10.8,11,24.7,24.4,49.1,15.2,6.7,6.5,0.4,1.3
GJ,Gujarat,Mahesena,1323,498,799,26,920,26.8,27.6,22.7,17.9,61.9,34.6,6.4,8.8,0.8,0
UP,Uttar Pradesh,Mirzapur,1323,344,956,23,955,28.2,24.5,13.3,9.9,55.4,33.6,2.9,6.1,0,0
BR,Bihar,Jamui,1320,180,1134,6,1036,37.5,25.6,7,11.6,61.9,32.3,2.9,3.8,0.3,0
HR,Haryana,Palwal,1316,105,1201,10,880,16.9,12.2,19.1,24.7,60.2,11.9,5.3,4.6,0.8,2.3
RJ,Rajasthan,Jalor,1310,53,1248,9,957,31.2,27.3,9.3,9.6,58.7,27.4,3.8,6.1,0.5,1.1
KL,Kerala,Idukki,1305,255,1046,3,965,10.2,9.9,28.9,26.2,25.7,12,9.5,14.6,0.1,1.7
WB,West Bengal,Birbhum,1296,276,1010,10,968,30.3,31.6,10.3,4.5,63.8,20.8,5,12,1,1.3
UP,Uttar Pradesh,Sitapur,1284,659,621,4,912,35.8,41.7,9.6,4.3,38.8,21.8,4.3,3.4,1.1,0.7
UP,Uttar Pradesh,Etawah,1276,353,893,30,935,22.7,16.3,18.5,12.5,28.2,11.1,4.2,5.3,0.6,0
MH,Maharashtra,Washim,1273,382,870,21,949,26.6,17,11.4,18.5,35.5,20.3,4,8.9,0.7,1.5
HR,Haryana,Panchkula,1267,398,861,8,780,6.8,7.2,22.9,10.9,55.4,29.3,5.4,5.8,0.4,0.6
AS,Assam,Lakhimpur,1266,130,1135,1,1044,21,8,15.5,22.8,39,26.2,7.1,12.6,1,1.6
CT,Chhattisgarh,Rajnandgaon,1258,318,933,7,1028,16.3,13.7,7,5.4,43.7,16.8,3.6,5.5,0.2,0.4
GJ,Gujarat,Bharuch,1249,291,947,11,973,31.3,23.7,23.7,16.5,52,15.1,8.1,6.3,1.8,0.8
MH,Maharashtra,Nandurbar,1221,356,809,56,1019,42.4,36.7,9.7,8.1,60.2,33.6,3.7,4.9,0.5,0.4
